column,missing_values,duplicated_rows
UID,0,0
iso2,0,0
iso3,0,0
code3,0,0
FIPS,1880,0
Admin2,1128,0
Province_State,0,0
Country_Region,0,0
Lat,0,0
Long_,0,0
Combined_Key,0,0
Date,0,0
Confirmed,0,0
Deaths,0,0
