Lat,Long,Confirmed,Deaths,Recovered,cluster
-16.2902,-63.5887,2831,122,299,2
35.1264,33.4299,883,15,296,2
42.602636,20.902977,184,5,30,2
20.593684,78.96288,9205,331,1080,2
-18.665695,35.529562,0,0,0,2
61.92411,25.748151,792,1,10,2
53.7609,-98.8139,0,0,0,2
49.8175,15.473,5831,129,411,2
52.1326,5.2913,34842,4054,0,2
-4.6796,55.492,11,0,8,2
41.9029,12.4534,1,0,0,2
9.145,40.4897,131,3,59,2
1.373333,32.290275,55,0,22,2
30.3753,69.3451,0,0,0,2
-20.904305,165.618042,0,0,0,2
29.1832,120.0934,1268,1,1267,2
10.6918,-61.2225,0,0,0,2
-12.8275,45.166244,854,10,352,2
14.058324,108.277199,153,0,20,2
6.6111,20.9394,3,0,0,2
-16.2902,-63.5887,62357,2273,19290,2
43.6661,126.1923,91,1,43,2
-9.19,-75.0152,244388,7461,131190,1
61.52401,105.318756,2,0,0,2
17.607789,8.081666,639,19,113,2
4.5709,-74.2973,120281,4210,47961,2
47.4116,28.3699,17814,585,10718,2
47.4116,28.3699,0,0,0,2
-18.665695,35.529562,0,0,0,2
-22.3285,24.6849,35,1,20,2
7.873054,80.77179699999998,1683,11,823,2
26.0789,117.9874,287,0,82,2
12.1165,-61.679,0,0,0,2
26.8154,106.8748,146,2,72,2
14.4974,-14.4524,9422,182,6291,2
71.7069,-42.6043,11,0,11,2
56.8796,24.6032,812,12,267,2
11.8037,-15.1804,1389,12,153,2
1.373333,32.290275,227,0,63,2
30.9756,112.2707,68135,4512,63619,2
15.4542,18.7322,836,69,672,2
-22.3285,24.6849,0,0,0,2
13.7942,-88.8965,424,10,124,2
49.3723,-2.3644,0,0,0,2
17.1899,-88.4976,18,2,16,2
49.8153,6.1296,0,0,0,2
8.6195,0.8248,497,13,251,2
17.357822,-62.782998,15,0,14,2
51.2538,-85.3232,34382,2607,0,2
18.4207,-64.64,8,1,7,2
30.9756,112.2707,68135,4512,63617,2
-0.228,15.8277,728,24,221,2
21.512583,55.92325500000001,0,0,0,2
24.974,101.487,174,2,172,2
3.2028,73.2207,617,2,20,2
34.802075,38.99681500000001,123,5,0,2
-19.015438,29.154857,9,1,0,2
15.870032,100.992541,3261,58,3105,2
18.0425,-63.0548,76,14,44,2
23.424076,53.847818,405,2,52,2
39.3999,-8.2245,27581,1135,2549,2
-38.4161,-63.6167,4003,197,1140,2
13.7942,-88.8965,0,0,0,2
47.5162,14.5501,0,0,0,2
43.9159,17.6791,6402,216,3037,2
15.2,-86.2419,0,0,0,2
3.9339,-53.1258,384,1,146,2
42.5063,1.5218,0,0,0,2
40.1824,116.4142,584,8,434,2
30.9756,112.2707,68135,4512,63616,2
6.6111,20.9394,4109,52,1050,2
40.0,-100.0,13,0,3,2
17.0608,-61.7964,68,3,23,2
21.512583,55.92325500000001,17486,81,3793,2
27.614,115.7221,937,1,936,2
29.31166,47.481766,0,0,0,2
17.0608,-61.7964,26,3,22,2
40.1431,47.5769,6860,82,3871,2
3.9339,-53.1258,279,1,143,2
39.3999,-8.2245,0,0,0,2
32.9711,119.455,645,0,631,2
46.8182,8.2275,0,0,0,2
23.885942,45.079162,237803,2283,177560,1
-33.8688,151.2093,3071,45,2605,2
43.6661,126.1923,112,1,103,2
41.377491,64.585262,0,0,0,2
43.9424,12.4578,654,41,203,2
25.025885,-78.035889,0,0,0,2
1.373333,32.290275,646,0,103,2
41.1129,85.2401,76,3,73,2
-11.6455,43.3333,0,0,0,2
16.742498,-62.187366,0,0,0,2
-4.6796,55.492,81,0,11,2
19.3133,-81.2546,187,1,115,2
-23.4425,-58.4438,11,0,0,2
44.0165,21.0059,13792,267,12338,2
17.607789,8.081666,0,0,0,2
14.4974,-14.4524,3130,35,1515,2
0.1864,6.6131,713,13,219,2
31.6927,88.0924,1,0,1,2
