Lat,Long,Confirmed,Deaths,Recovered,cluster,prob
25.025885,-78.035889,0,0,0,3,0.9999273968863103
17.357822,-62.782998,10,0,0,3,0.999915813145764
32.3078,-64.7505,0,0,0,3,0.9999047757308187
61.8926,-6.9118,140,0,47,3,0.9997445234218881
32.427908,53.68804599999999,0,0,0,3,0.9996657332632318
-40.9006,174.886,1504,21,1461,0,0.9999999988917612
49.8153,6.1296,2804,36,500,0,0.9999945447308954
-0.0236,37.9062,4952,128,1782,0,0.9999970759266569
15.415,-61.371,0,0,0,3,0.9999141667794706
-9.19,-75.0152,45928,1286,13550,4,1.0
-11.2027,17.8739,48,2,14,3,0.9998568559010265
-14.235,-51.9253,772416,39680,413916,4,1.0
35.1917,108.8701,320,3,308,3,0.9889306438300055
16.742498,-62.187366,12,1,10,3,0.9999147347765955
24.974,101.487,185,2,183,3,0.9992723575478106
47.1625,19.5033,4315,596,3222,4,1.0
35.1917,108.8701,245,1,173,3,0.9993562176641472
35.7452,95.9956,18,0,18,3,0.9996268687641726
19.1959,109.7453,171,6,165,3,0.9994321339354191
23.6345,-102.5528,7,0,1,3,0.9999532226387954
33.223191,43.679291,13481,370,5572,4,0.714501450154064
0.1864,6.6131,0,0,0,3,0.9998390126018815
15.415,-61.371,16,0,8,3,0.9999156441260628
4.210483999999999,101.975766,238,0,35,3,0.9994344608989886
60.472,8.4689,996,0,1,0,0.9999934332618136
-17.6797,149.4068,30,0,0,3,0.9998156067698873
23.3417,113.4244,1524,8,1387,0,0.9999985800011021
18.2206,-63.0686,0,0,0,3,0.999914017033926
9.9456,-9.6966,1495,7,329,0,0.9999953607163036
16.5388,-23.0418,3,0,0,3,0.9998577661402935
37.2692,106.1655,75,0,75,3,0.9996576749875759
46.2276,2.2137,186118,29010,67510,4,1.0
11.8037,-15.1804,0,0,0,3,0.9998514703715433
12.2383,-1.5616,967,53,846,0,0.9999957646873857
46.5653,-66.4619,118,0,0,3,0.9998756396055704
21.0079,-10.9408,6,1,2,3,0.9998300583363289
18.2206,-63.0686,0,0,0,3,0.999914017033926
53.7267,-127.6476,1,0,0,3,0.999964069867992
16.265,-61.551,125,6,24,3,0.9998917715722172
64.2823,-135.0,0,0,0,3,0.9999672542889737
18.2206,-63.0686,0,0,0,3,0.999914017033926
-27.4698,153.0251,2,0,0,3,0.9998404121028434
15.4542,18.7322,0,0,0,3,0.9997861388758492
47.1625,19.5033,0,0,0,3,0.999695872936373
43.6661,126.1923,155,2,153,3,0.9994803211226393
42.708678000000006,19.37439,0,0,0,3,0.9997097995761526
12.2383,-1.5616,0,0,0,3,0.9998283033940444
23.8298,108.7881,255,2,252,3,0.9974511693389994
-11.2027,17.8739,386,21,117,3,0.9932439214895997
17.9,-62.8333,1,0,0,3,0.9999141516311048
42.7339,25.4858,3984,207,2171,0,0.9998831654105821
7.54,-5.5471,1275,14,574,0,0.9999964245684604
40.463667,-3.74922,0,0,0,3,0.9997737583860973
53.1355,-57.6604,244,3,0,3,0.999549781230877
26.0789,117.9874,261,0,39,3,0.9991392390027071
30.3753,69.3451,0,0,0,3,0.9996455541726816
13.4432,-15.3101,24,1,13,3,0.9998555712748618
-0.7893,113.9213,9511,773,1254,4,1.0
7.54,-5.5471,3557,36,1750,0,0.9999956128815812
1.6508,10.2679,0,0,0,3,0.9998308635580475
9.7489,-83.7534,0,0,0,3,0.9999422609846101
53.9333,-116.5765,4017,72,0,0,0.999998227194703
31.202,121.4491,96,1,5,3,0.9995956938337782
12.2383,-1.5616,736,48,562,0,0.9999957318407601
